,openrank_latest,stars_latest,activity_latest
openrank_latest,1.0,-0.4729481452859133,0.5450508094489861
stars_latest,-0.4729481452859133,1.0,0.08222619759827333
activity_latest,0.5450508094489861,0.08222619759827333,1.0
