project_type,count,avg_openrank,avg_total_stars
DevOps/CI-CD,2,445.22,28404.5
云平台/基础设施,4,159.52,24893.0
人工智能,7,412.07,52538.86
其他,71,23.9,38790.96
前端框架,7,133.84,105070.57
后端框架,3,0.0,28645.0
大数据/数据库,6,248.44,24044.67
实用工具,3,612.79,44758.67
容器编排,2,585.3,64338.5
开发工具,5,514.94,64181.4
文档/网站,2,343.66,4482.0
移动开发,1,0.0,175781.0
编程语言,8,358.66,90525.62
