rank,org,project,full_name,total_stars,monthly_stars_latest,activity_latest,openrank_latest,source,project_type
70,PowerShell,PowerShell,PowerShell/PowerShell,43546,43546,455.94,0.0,top100_only,其他
71,yt-dlp,yt-dlp,yt-dlp/yt-dlp,43526,43526,732.87,0.0,top100_only,其他
72,JuliaLang,julia,JuliaLang/julia,43350,43350,632.16,0.0,top100_only,其他
73,grpc,grpc,grpc/grpc,40923,40923,483.36,0.0,top100_only,其他
74,RocketChat,Rocket.Chat,RocketChat/Rocket.Chat,40153,40153,692.27,0.0,top100_only,其他
75,ultralytics,yolov5,ultralytics/yolov5,39605,39605,397.81,0.0,top100_only,其他
76,rails,rails,rails/rails,39443,39443,658.19,0.0,top100_only,人工智能
77,go-gitea,gitea,go-gitea/gitea,38194,38194,813.14,0.0,top100_only,其他
78,pandas-dev,pandas,pandas-dev/pandas,37864,37864,1015.95,0.0,top100_only,其他
79,firstcontributions,first-contributions,firstcontributions/first-contributions,37446,37446,2643.15,0.0,top100_only,其他
80,pingcap,tidb,pingcap/tidb,37136,37136,1001.34,0.0,top100_only,其他
81,php,php-src,php/php-src,35221,35221,442.38,0.0,top100_only,其他
82,istio,istio,istio/istio,34857,34857,755.86,0.0,top100_only,其他
83,metabase,metabase,metabase/metabase,33760,33760,747.81,0.0,top100_only,其他
84,dotnet,aspnetcore,dotnet/aspnetcore,33669,33669,1064.61,0.0,top100_only,其他
85,dbeaver,dbeaver,dbeaver/dbeaver,33556,33556,535.87,0.0,top100_only,其他
86,type-challenges,type-challenges,type-challenges/type-challenges,32571,32571,785.99,0.0,top100_only,其他
87,prisma,prisma,prisma/prisma,32229,32229,838.92,0.0,top100_only,其他
88,PaddlePaddle,PaddleOCR,PaddlePaddle/PaddleOCR,31267,31267,600.97,0.0,top100_only,其他
89,rapid7,metasploit-framework,rapid7/metasploit-framework,30699,30699,305.26,0.0,top100_only,后端框架
90,ccxt,ccxt,ccxt/ccxt,30491,30491,432.65,0.0,top100_only,其他
91,getsentry,sentry,getsentry/sentry,30395,30395,1259.03,0.0,top100_only,其他
