month,full_name,name,author,description,language,stars_count,forks_count,created_at,updated_at,url,topics,license,open_issues,watchers,rank
,microsoft/playwright-mcp,playwright-mcp,microsoft,Playwright MCP server,TypeScript,25277,2060,2025-03-21T17:48:36Z,2026-01-09T11:30:37Z,https://github.com/microsoft/playwright-mcp,"['mcp', 'playwright']",Apache License 2.0,39,25277,20
2025-01,simstudioai/sim,sim,simstudioai,Open-source platform to build and deploy AI agent workflows.,TypeScript,25090,3124,2025-01-05T22:47:49Z,2026-01-08T02:02:45Z,https://github.com/simstudioai/sim,"['agent-workflow', 'agentic-workflow', 'agents', 'ai', 'aiagents', 'anthropic', 'artificial-intelligence', 'automation', 'chatbot', 'deepseek', 'gemini', 'low-code', 'nextjs', 'no-code', 'openai', 'rag', 'react', 'typescript']",Apache License 2.0,138,25090,21
2025-02,musistudio/claude-code-router,claude-code-router,musistudio,"Use Claude Code as the foundation for coding infrastructure, allowing you to decide how to interact with the model while enjoying updates from Anthropic.",TypeScript,24986,1961,2025-02-25T02:17:18Z,2026-01-08T02:03:34Z,https://github.com/musistudio/claude-code-router,[],MIT License,718,24986,22
2025-05,asgeirtj/system_prompts_leaks,system_prompts_leaks,asgeirtj,"Collection of extracted System Prompts from popular chatbots like ChatGPT, Claude & Gemini",Roff,24858,3816,2025-05-03T02:43:56Z,2026-01-08T01:58:42Z,https://github.com/asgeirtj/system_prompts_leaks,"['ai', 'anthropic', 'chatbots', 'chatgpt', 'claude', 'gemini', 'generative-ai', 'google-deepmind', 'large-language-models', 'llm', 'openai', 'prompt-engineering', 'prompt-injection', 'prompts']",,25,24858,23
,eyaltoledano/claude-task-master,claude-task-master,eyaltoledano,"An AI-powered task-management system you can drop into Cursor, Lovable, Windsurf, Roo, and others.",javascript,24700,2377,2025-03-04T18:54:54Z,2026-01-09T11:59:10Z,https://github.com/eyaltoledano/claude-task-master,"['ai', 'cursor', 'cursor-ai', 'cursorai', 'lovable', 'lovable-dev', 'roocode', 'task-manager', 'tasks', 'tasks-list', 'windsurf', 'windsurf-ai']",Other,155,24700,24
2025-01,huggingface/agents-course,agents-course,huggingface,This repository contains the Hugging Face Agents Course. ,MDX,24668,1726,2025-01-16T19:50:22Z,2026-01-08T02:00:13Z,https://github.com/huggingface/agents-course,"['agentic-ai', 'agents', 'course', 'huggingface', 'langchain', 'llamaindex', 'smolagents']",Apache License 2.0,98,24668,25
2025-07,wshobson/agents,agents,wshobson,Intelligent automation and multi-agent orchestration for Claude Code,C#,24597,2716,2025-07-24T23:28:14Z,2026-01-08T02:05:52Z,https://github.com/wshobson/agents,"['agents', 'anthropic', 'anthropic-claude', 'automation', 'claude', 'claude-code', 'claude-code-cli', 'claude-code-commands', 'claude-code-plugin', 'claude-code-plugins', 'claude-code-skills', 'claude-code-subagents', 'claude-skills', 'claudecode', 'claudecode-config', 'claudecode-subagents', 'orchestration', 'sub-agents', 'subagents', 'workflows']",MIT License,10,24597,26
,Fosowl/agenticSeek,agenticSeek,Fosowl,"Fully Local Manus AI. No APIs, No $200 monthly bills. Enjoy an autonomous agent that thinks, browses the web, and code for the sole cost of electricity. 🔔 Official updates only via twitter @Martin993886460 (Beware of fake account)",python,24351,2687,2025-02-19T18:03:06Z,2026-01-09T10:40:33Z,https://github.com/Fosowl/agenticSeek,"['agentic-ai', 'agents', 'ai', 'autonomous-agents', 'deepseek-r1', 'llm', 'llm-agents', 'voice-assistant']",GNU General Public License v3.0,40,24351,27
2025-07,permissionlesstech/bitchat,bitchat,permissionlesstech,"bluetooth mesh chat, IRC vibes",Swift,23753,2221,2025-07-04T14:34:38Z,2026-01-07T21:10:49Z,https://github.com/permissionlesstech/bitchat,[],The Unlicense,220,23753,28
2025-08,firecrawl/open-lovable,open-lovable,firecrawl,🔥 Clone and recreate any website as a modern React app in seconds,TypeScript,23334,4536,2025-08-08T13:04:02Z,2026-01-08T01:54:27Z,https://github.com/firecrawl/open-lovable,[],MIT License,117,23334,29
,apple/container,container,apple,"A tool for creating and running Linux containers using lightweight virtual machines on a Mac. It is written in Swift, and optimized for Apple silicon. ",Swift,23168,580,2025-05-30T21:26:05Z,2026-01-09T11:50:40Z,https://github.com/apple/container,[],Apache License 2.0,246,23168,30
,deepseek-ai/DeepSeek-OCR,DeepSeek-OCR,deepseek-ai,Contexts Optical Compression,python,21950,1995,2025-10-17T06:14:27Z,2026-01-09T10:46:18Z,https://github.com/deepseek-ai/DeepSeek-OCR,[],MIT License,273,21950,31
2025-10,toon-format/toon,toon,toon-format,"🎒 Token-Oriented Object Notation (TOON) – Compact, human-readable, schema-aware JSON for LLM prompts. Spec, benchmarks, TypeScript SDK.",TypeScript,21582,947,2025-10-22T18:17:32Z,2026-01-08T01:28:39Z,https://github.com/toon-format/toon,"['data-format', 'llm', 'serialization', 'tokenization']",MIT License,17,21582,32
,zai-org/Open-AutoGLM,Open-AutoGLM,zai-org,An Open Phone Agent Model & Framework. Unlocking the AI Phone for Everyone,python,21384,3407,2025-12-08T09:23:44Z,2026-01-09T12:00:44Z,https://github.com/zai-org/Open-AutoGLM,"['agent', 'phone-use-agent']",Apache License 2.0,194,21384,33
2025-03,a2aproject/A2A,A2A,a2aproject,An open protocol enabling communication and interoperability between opaque agentic applications.,Shell,21347,2177,2025-03-25T18:44:21Z,2026-01-07T21:39:46Z,https://github.com/a2aproject/A2A,"['a2a', 'a2a-mcp', 'a2a-protocol', 'a2a-server', 'agents', 'generative-ai', 'linux-foundation']",Apache License 2.0,171,21347,34
,resemble-ai/chatterbox,chatterbox,resemble-ai,SoTA open-source TTS,python,21040,2736,2025-04-23T08:16:38Z,2026-01-09T11:58:54Z,https://github.com/resemble-ai/chatterbox,[],MIT License,283,21040,35
,google/langextract,langextract,google,A Python library for extracting structured information from unstructured text using LLMs with precise source grounding and interactive visualization.,python,20453,1424,2025-07-08T20:46:06Z,2026-01-09T11:54:19Z,https://github.com/google/langextract,"['gemini', 'gemini-ai', 'gemini-api', 'gemini-flash', 'gemini-pro', 'information-extration', 'large-language-models', 'llm', 'nlp', 'python', 'structured-data']",Apache License 2.0,85,20453,36
2025-01,bytedance/UI-TARS-desktop,UI-TARS-desktop,bytedance,The Open-Source Multimodal AI Agent Stack: Connecting Cutting-Edge AI Models and Agent Infra,TypeScript,20451,1956,2025-01-19T09:04:43Z,2026-01-08T01:32:27Z,https://github.com/bytedance/UI-TARS-desktop,"['agent', 'agent-tars', 'browser-use', 'computer-use', 'gui-agent', 'gui-operator', 'mcp', 'mcp-server', 'multimodal', 'tars', 'ui-tars', 'vision', 'vlm']",Apache License 2.0,311,20451,37
,microsoft/VibeVoice,VibeVoice,microsoft,Open-Source Frontier Voice AI,python,20120,2214,2025-08-25T13:24:01Z,2026-01-09T12:02:41Z,https://github.com/microsoft/VibeVoice,[],MIT License,72,20120,38
